j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
e 	CC 	e
o 	DA 	a
pedra_filosofal_tradução_de_isabel_fraga_editorial_presença_ficha_técnica 	NP 	Pedra_Filosofal_Tradução_de_Isabel_Fraga_Editorial_Presença_Ficha_Técnica
: 	Fd 	:
titulo 	NP 	Titulo
original 	AQ 	original
: 	Fd 	:
harry_potter 	NP 	Harry_Potter
and 	AQ 	and
the 	VMI 	the
philosopher's_stone_autor 	NP 	Philosopher's_Stone_Autor
: 	Fd 	:
j._k._rowling_copyright 	NP 	J._K._Rowling_Copyright
* 	Fz 	*
_ 	Fz 	_
c 	NC 	c
* 	Fz 	*
text_joanne_rowling_tradução 	NP 	Text_Joanne_Rowling_Tradução
* 	Fz 	*
_ 	Fz 	_
c 	NC 	c
* 	Fz 	*
editorial_presença 	NP 	Editorial_Presença
, 	Fc 	,
lisboa 	NP 	Lisboa
, 	Fc 	,
1999 	Z 	1999
tradução 	NP 	Tradução
: 	Fd 	:
isabel_fraga_capa 	NP 	Isabel_Fraga_Capa
: 	Fd 	:
teresa_cruz_pinho_pré-impressão 	NP 	Teresa_Cruz_Pinho_Pré-impressão
: 	Fd 	:
textype 	NP 	Textype
- 	Fg 	-
artes_gráficas 	NP 	Artes_Gráficas
, 	Fc 	,
lda._impressão 	NP 	Lda._Impressão
e 	CC 	e
acabamento 	NC 	acabamento
: 	Fd 	:
guide 	NP 	Guide
- 	Fg 	-
artes_gráficas 	NP 	Artes_Gráficas
, 	Fc 	,
lda. 	NP 	Lda.
1.a 	Z 	1.a
edição 	NC 	edição
, 	Fc 	,
lisboa 	NP 	Lisboa
, 	Fc 	,
[??:??/10/??:??.??:??] 	W 	Outubro
, 	Fc 	,
1999 	Z 	1999
2.a 	Z 	2.a
edição 	NC 	edição
, 	Fc 	,
lisboa 	NP 	Lisboa
, 	Fc 	,
[??:??/11/??:??.??:??] 	W 	Novembro
, 	Fc 	,
1999 	Z 	1999
3.a 	Z 	3.a
edição 	NC 	edição
, 	Fc 	,
lisboa 	NP 	Lisboa
, 	Fc 	,
[??:??/12/??:??.??:??] 	W 	Dezembro
, 	Fc 	,
1999 	Z 	1999
depósito 	NP 	Depósito
legal 	AQ 	legal
: 	Fd 	:
145.564/99 	Z 	145.564/99
reservados 	NP 	Reservados
todo 	DI 	todos
o 	DA 	os
direito 	NC 	direitos
para 	SP 	para
o 	DA 	a
língua 	NC 	língua
português 	AQ 	portuguesa
, 	Fc 	,
excepto 	CC 	excepto
brasil 	NP 	Brasil
, 	Fc 	,
